,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
DC,7402,7064,6727,90.88%,5888,1514,0,1265,4171,3221,10,209,526,5888,5728,5578,94.74%,424,0,1035,3545,2333,10,0,78,1514,1336,1149,75.89%,230,626,888,0,209,448,0,0,0,.,0,0,0,0,0,0,4480,4480,4478,99.96%,1398,4208,272,0,212,67,6336,6300,5103,80.54%,1043,3117,3219,0,1251,130,6236,1751,1751,0,0.00%,472,1561,190,0,0,0
DE,1143,1067,649,56.78%,575,568,0,177,468,671,4,80,12,575,499,374,65.04%,31,77,61,192,379,4,17,4,568,568,275,48.42%,116,276,292,0,63,8,0,0,0,.,0,0,0,0,0,0,216,216,216,100.00%,64,211,5,0,20,0,671,671,504,75.11%,40,97,574,0,167,0,471,101,101,89,88.12%,3,9,92,0,24,0
FL,19982,17407,14745,73.79%,11493,8366,123,2124,8179,11403,400,1366,1048,11493,9477,8602,74.85%,193,621,1075,4652,6526,315,290,456,8366,7807,6020,71.96%,1049,3527,4754,85,1041,592,123,123,123,100.00%,0,0,123,0,35,0,4945,4754,4583,92.68%,1189,3544,1396,5,1462,140,17817,17785,13010,73.02%,2940,6552,11265,0,7687,135,8708,1539,1539,542,35.22%,121,379,1160,0,69,0
GA,8127,6678,4059,49.94%,4593,3534,0,945,3222,4885,20,258,139,4593,3553,2113,46.00%,232,252,541,1932,2646,15,44,65,3534,3125,1946,55.07%,404,1290,2239,5,214,74,0,0,0,.,0,0,0,0,0,0,1379,1191,1140,82.67%,357,1076,303,0,515,22,8271,8234,6415,77.56%,1291,3002,5261,8,2777,44,2927,43,43,28,65.12%,4,10,33,0,0,0
GU,129,88,83,64.34%,129,0,0,19,82,26,21,5,22,129,88,83,64.34%,0,7,19,82,26,21,5,22,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,108,108,108,100.00%,21,90,18,0,32,0,153,153,75,49.02%,19,61,92,0,78,4,54,0,0,0,.,0,0,0,0,0,0
HI,4252,4030,4006,94.21%,1693,2534,25,743,2844,1392,16,159,27,1693,1530,1530,90.37%,0,13,240,813,864,16,49,16,2534,2475,2451,96.72%,503,2031,503,0,110,11,25,25,25,100.00%,0,0,25,0,0,0,1219,1219,1219,100.00%,301,1129,90,0,88,0,2126,2126,1296,60.96%,113,440,1686,0,733,0,987,0,0,0,.,0,0,0,0,0,0
IA,3266,2696,2274,69.63%,1524,1742,0,554,1815,1436,15,115,134,1524,1181,879,57.68%,243,124,200,638,875,11,29,24,1742,1515,1395,80.08%,354,1177,561,4,86,110,0,0,0,.,0,0,0,0,0,0,629,419,419,66.61%,135,498,131,0,85,0,1069,1042,811,75.87%,126,370,699,0,430,0,802,199,199,199,100.00%,36,143,56,0,12,0
ID,1691,1407,740,43.76%,1125,566,0,212,842,829,20,119,24,1125,888,441,39.20%,0,100,122,532,573,20,34,20,566,519,299,52.83%,90,310,256,0,85,4,0,0,0,.,0,0,0,0,0,0,263,263,241,91.63%,67,219,44,0,47,0,831,824,592,71.24%,123,399,432,0,397,0,552,0,0,0,.,0,0,0,0,0,0
IL,10177,8766,8071,79.31%,4797,5299,81,1282,4797,5281,99,417,852,4797,3944,3454,72.00%,656,158,331,1435,3306,56,106,225,5299,4741,4536,85.60%,951,3362,1894,43,298,627,81,81,81,100.00%,0,0,81,0,13,0,1902,1902,1839,96.69%,376,1276,617,9,353,19,13593,13593,10505,77.28%,1563,4393,9196,4,3662,47,4188,570,494,426,74.74%,113,343,224,3,93,40
IN,6142,4760,2893,47.10%,3988,2104,50,855,2777,3270,95,602,127,3988,3018,1609,40.35%,266,381,529,1746,2150,92,126,99,2104,1692,1234,58.65%,326,1031,1070,3,451,28,50,50,50,100.00%,0,0,50,0,25,0,929,863,815,87.73%,210,640,289,0,334,11,3667,3549,2435,66.40%,413,1196,2471,0,1215,28,719,78,78,66,84.62%,15,36,42,0,0,0
KS,2516,1937,1097,43.60%,1755,741,20,361,1196,1315,5,164,46,1755,1292,775,44.16%,105,16,236,769,985,1,89,16,741,625,302,40.76%,125,427,310,4,75,30,20,20,20,100.00%,0,0,20,0,0,0,636,620,547,86.01%,143,486,150,0,139,6,1518,1518,1195,78.72%,160,514,1004,0,559,114,291,0,0,0,.,0,0,0,0,0,0
KY,3540,2977,2249,63.53%,2276,1262,2,347,1112,2400,28,350,118,2276,1760,1131,49.69%,172,180,216,729,1525,22,45,60,1262,1215,1116,88.43%,131,383,873,6,305,58,2,2,2,100.00%,0,0,2,0,0,0,717,651,620,86.47%,183,554,163,0,105,19,3289,3135,2143,65.16%,485,1272,2017,0,1013,19,1310,433,433,307,70.90%,53,119,314,0,0,0
LA,3164,2708,2197,69.44%,1734,1385,45,289,1073,2004,87,484,257,1734,1431,1147,66.15%,59,65,169,684,996,54,71,164,1385,1232,1005,72.56%,120,389,963,33,388,93,45,45,45,100.00%,0,0,45,0,25,0,1154,1075,1068,92.55%,255,831,323,0,321,43,5107,5038,3946,77.27%,522,1566,3541,0,1237,108,2485,13,13,13,100.00%,6,13,0,0,0,0
MA,16614,15750,15156,91.22%,13732,2797,85,4009,11739,4855,20,872,258,13732,13243,13038,94.95%,288,722,3495,10620,3092,20,108,87,2797,2422,2063,73.76%,514,1119,1678,0,744,171,85,85,55,64.71%,0,0,85,0,20,0,5620,5598,4490,79.89%,1954,5047,573,0,163,171,11397,11369,8923,78.29%,1132,3025,8372,0,3237,83,6346,4417,4385,2652,60.04%,1056,2961,1456,0,123,33
MD,5616,5164,4318,76.89%,3334,2197,85,671,2429,3170,17,447,113,3334,2948,2562,76.84%,734,347,374,1543,1778,13,100,18,2197,2131,1671,76.06%,297,886,1307,4,347,95,85,85,85,100.00%,0,0,85,0,0,0,1412,1352,1195,84.63%,325,1092,320,0,307,62,8458,8458,5739,67.85%,1470,4353,4105,0,1252,57,1271,427,427,425,99.53%,131,359,68,0,5,5
ME,2457,2105,1907,77.61%,1217,1225,15,417,1256,1185,16,50,105,1217,1031,881,72.39%,0,124,182,557,644,16,12,57,1225,1059,1011,82.53%,235,699,526,0,38,48,15,15,15,100.00%,0,0,15,0,0,0,369,369,369,100.00%,102,248,120,1,0,1,2500,2474,2441,97.64%,328,1033,1467,0,333,8,328,24,0,0,0.00%,8,23,1,0,0,0
MI,8624,6653,6065,70.33%,5710,2851,63,1181,3980,4473,171,766,466,5710,4464,4033,70.63%,785,454,724,2512,3081,117,178,192,2851,2126,1982,69.52%,457,1468,1329,54,549,274,63,63,50,79.37%,0,0,63,0,39,0,3126,3108,2924,93.54%,697,2458,668,0,410,14,10913,10878,9194,84.25%,1674,5019,5894,0,2134,21,3115,22218,22197,5708,25.69%,4690,16152,6066,0,79,6
MN,7013,6204,5213,74.33%,3766,3247,0,1160,3821,2983,209,118,814,3766,3104,2796,74.24%,168,227,486,1625,2050,91,9,180,3247,3100,2417,74.44%,674,2196,933,118,109,634,0,0,0,.,0,0,0,0,0,0,2396,2396,2254,94.07%,672,2028,368,0,135,307,10877,10831,7746,71.21%,1600,4946,5917,14,855,292,2314,2180,2137,1831,83.99%,400,1437,733,10,81,93
MO,6057,4388,3356,55.41%,3858,2159,40,877,2788,3120,149,371,521,3858,2414,1969,51.04%,242,275,475,1671,2083,104,93,162,2159,1934,1347,62.39%,402,1117,997,45,264,351,40,40,40,100.00%,0,0,40,0,14,8,1059,961,936,88.39%,263,703,356,0,254,31,6040,6023,4783,79.19%,1130,3201,2839,0,1242,17,1914,80,80,13,16.25%,2,4,76,0,1,13
MP,41,0,0,0.00%,41,0,0,1,5,35,1,0,1,41,0,0,0.00%,0,3,1,5,35,1,0,1,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
MS,1322,973,657,49.70%,842,480,0,135,597,683,42,42,52,842,546,371,44.06%,57,5,93,422,388,32,2,34,480,427,286,59.58%,42,175,295,10,40,18,0,0,0,.,0,0,0,0,0,0,1181,1181,909,76.97%,452,880,301,0,476,57,361,351,219,60.66%,84,162,199,0,140,0,99,0,0,0,.,0,0,0,0,0,0
MT,1290,996,145,11.24%,946,344,0,218,747,529,14,104,23,946,717,43,4.55%,48,116,136,541,401,4,0,4,344,279,102,29.65%,82,206,128,10,104,19,0,0,0,.,0,0,0,0,0,0,511,511,511,100.00%,150,355,156,0,98,13,967,967,362,37.44%,130,438,529,0,603,13,120,14,14,14,100.00%,0,0,14,0,0,0
NC,8002,6623,5256,65.68%,5881,2121,0,850,3302,4626,74,451,131,5881,4601,3683,62.63%,635,159,596,2419,3399,63,43,63,2121,2022,1573,74.16%,254,883,1227,11,408,68,0,0,0,.,0,0,0,0,0,0,2415,2265,2225,92.13%,591,1967,448,0,209,13,6624,6616,4928,74.40%,842,2798,3826,0,2413,7,3789,252,252,252,100.00%,77,202,50,0,50,0
ND,1034,702,690,66.73%,896,138,0,191,433,593,8,44,49,896,636,632,70.54%,25,36,168,370,518,8,8,49,138,66,58,42.03%,23,63,75,0,36,0,0,0,0,.,0,0,0,0,0,0,71,71,71,100.00%,0,0,71,0,71,0,630,603,603,95.71%,73,132,498,0,202,0,72,0,0,0,.,0,0,0,0,0,0
NE,2569,2347,1694,65.94%,1576,993,0,337,1109,1440,20,105,93,1576,1391,998,63.32%,0,345,158,555,1005,16,22,16,993,956,696,70.09%,179,554,435,4,83,77,0,0,0,.,0,0,0,0,0,0,621,556,556,89.53%,119,384,237,0,144,59,1105,1105,660,59.73%,141,337,768,0,447,49,727,280,280,110,39.29%,30,74,206,0,50,0
NH,1383,1209,1098,79.39%,807,567,9,288,794,573,16,113,62,807,659,597,73.98%,112,68,133,388,403,16,0,16,567,541,492,86.77%,155,406,161,0,112,46,9,9,9,100.00%,0,0,9,0,1,0,228,228,225,98.68%,57,171,57,0,34,8,1125,1125,695,61.78%,166,531,594,0,404,5,239,78,78,78,100.00%,17,47,31,0,0,0
NJ,7001,6115,5634,80.47%,4766,2215,20,1351,3552,3369,80,377,331,4766,4188,3814,80.03%,275,1885,951,2391,2307,68,33,183,2215,1907,1800,81.26%,400,1161,1042,12,344,148,20,20,20,100.00%,0,0,20,0,0,0,1438,1438,1404,97.64%,343,1015,423,0,290,42,6600,6531,5284,80.06%,947,2515,4077,8,1400,234,2191,296,296,285,96.28%,25,70,226,0,0,0
NM,1674,1147,678,40.50%,1112,562,0,197,776,775,123,147,143,1112,644,355,31.92%,396,86,120,512,520,80,64,80,562,503,323,57.47%,77,264,255,43,83,63,0,0,0,.,0,0,0,0,0,0,800,572,572,71.50%,240,662,138,0,207,10,2634,2528,1408,53.45%,458,1149,1485,0,500,0,1058,0,0,0,.,0,0,0,0,0,0
NV,3331,2999,2561,76.88%,1994,1312,25,283,757,2526,48,509,192,1994,1741,1475,73.97%,323,391,168,499,1459,36,113,73,1312,1233,1061,80.87%,115,258,1042,12,396,119,25,25,25,100.00%,0,0,25,0,0,0,698,698,684,97.99%,167,488,210,0,179,106,3201,3201,2153,67.26%,260,809,2390,2,1994,45,1735,0,0,0,.,0,0,0,0,0,0
NY,87836,84036,81126,92.36%,81468,6276,92,17280,55035,32621,180,907,1119,81468,77965,76549,93.96%,373,2550,16618,53180,28146,142,289,413,6276,5988,4494,71.61%,662,1855,4383,38,563,706,92,83,83,90.22%,0,0,92,0,55,0,5172,4957,4842,93.62%,929,2840,2332,0,2753,43,41577,41183,28273,68.00%,4042,11120,30457,0,7282,547,18591,517,511,184,35.59%,122,365,152,0,0,16
OH,9420,8104,6915,73.41%,7069,2287,64,1218,3810,5508,102,662,368,7069,6057,5037,71.25%,523,493,869,2826,4172,71,124,162,2287,1983,1826,79.84%,349,984,1272,31,516,206,64,64,52,81.25%,0,0,64,0,22,0,4131,3953,3920,94.89%,938,3250,881,0,606,171,16770,16701,14441,86.11%,2283,6064,10706,0,2849,231,7154,30,30,24,80.00%,6,6,24,0,20,0
OK,3678,2901,2132,57.97%,2829,824,25,374,1364,2210,104,139,347,2829,2138,1581,55.89%,56,136,257,984,1741,104,58,203,824,738,526,63.83%,117,380,444,0,81,144,25,25,25,100.00%,0,0,25,0,0,0,345,302,302,87.54%,43,141,204,0,203,10,1679,1660,1077,64.15%,142,382,1292,5,860,66,678,10,10,0,0.00%,1,3,7,0,0,0
OR,6648,6081,3959,59.55%,4107,2531,10,818,2246,4292,110,333,415,4107,3671,2354,57.32%,368,110,440,1246,2783,78,40,197,2531,2400,1595,63.02%,378,1000,1499,32,293,218,10,10,10,100.00%,0,0,10,0,0,0,3267,3058,3048,93.30%,637,2253,1013,1,583,85,7232,7170,5688,78.65%,1025,2865,4367,0,1947,51,2476,145,145,136,93.79%,37,115,30,0,1,0
PA,14246,12467,9926,69.68%,8248,5806,192,2367,7393,6789,64,779,715,8248,7026,5154,62.49%,1190,307,1160,3941,4244,63,132,177,5806,5249,4645,80.00%,1207,3452,2353,1,647,538,192,192,127,66.15%,0,0,192,0,0,0,3891,3798,3435,88.28%,932,2882,1008,1,662,30,13163,13080,9503,72.19%,1990,6379,6784,0,3129,91,4703,1170,1159,198,16.92%,320,959,211,0,31,12
PR,1531,1222,1222,79.82%,684,815,32,98,339,1174,18,49,45,684,568,568,83.04%,0,0,29,118,548,18,11,19,815,622,622,76.32%,69,221,594,0,38,26,32,32,32,100.00%,0,0,32,0,0,0,231,216,209,90.48%,39,129,102,0,36,0,1838,1725,1674,91.08%,187,526,1312,0,220,21,972,280,280,280,100.00%,0,0,280,0,0,0
RI,1069,907,761,71.19%,726,343,0,138,393,666,10,73,36,726,650,510,70.25%,139,7,62,191,525,10,0,20,343,257,251,73.18%,76,202,141,0,73,16,0,0,0,.,0,0,0,0,0,0,328,328,328,100.00%,55,193,135,0,107,0,1239,1239,966,77.97%,144,514,725,0,321,12,436,712,699,693,97.33%,116,283,429,0,1,1
SC,2931,2583,1915,65.34%,1898,1020,13,305,1243,1644,44,292,78,1898,1581,1057,55.69%,470,95,161,812,1068,18,14,32,1020,989,845,82.84%,144,431,563,26,278,46,13,13,13,100.00%,0,0,13,0,0,0,473,473,473,100.00%,101,245,228,0,201,22,2497,2424,1995,79.90%,278,803,1694,0,1314,4,1375,162,162,85,52.47%,23,92,50,20,7,24
SD,1356,958,300,22.12%,966,390,0,395,752,595,9,131,27,966,580,75,7.76%,15,127,178,527,439,0,11,14,390,378,225,57.69%,217,225,156,9,120,13,0,0,0,.,0,0,0,0,0,0,182,146,146,80.22%,107,161,21,0,0,0,459,459,290,63.18%,91,159,300,0,286,0,104,0,0,0,.,0,0,0,0,0,0
TN,6326,5621,4687,74.09%,3959,2359,8,584,2149,4136,41,370,72,3959,3385,2731,68.98%,653,227,321,1327,2591,41,15,62,2359,2228,1948,82.58%,263,822,1537,0,353,10,8,8,8,100.00%,0,0,8,0,2,0,1293,1244,1236,95.59%,306,933,360,0,277,0,4681,4656,3677,78.55%,1001,2125,2556,0,1578,12,1429,176,155,155,88.07%,11,33,143,0,0,0
TX,19344,15519,11890,61.47%,13475,5785,84,2485,8907,10253,184,1378,795,13475,10814,8050,59.74%,54,380,1360,5294,8042,139,823,519,5785,4621,3779,65.32%,1125,3613,2127,45,539,276,84,84,61,72.62%,0,0,84,0,16,0,4775,3888,3630,76.02%,1095,3418,1357,0,1098,19,14376,14126,9241,64.28%,2039,5434,8942,0,6829,163,8274,2814,2814,2294,81.52%,644,2263,551,0,0,0
UT,2754,2080,1896,68.85%,2280,474,0,344,1196,1493,65,158,111,2280,1725,1600,70.18%,80,223,283,1016,1199,65,8,73,474,355,296,62.45%,61,180,294,0,150,38,0,0,0,.,0,0,0,0,0,0,1132,1093,1093,96.55%,264,991,134,7,121,7,2562,2556,2475,96.60%,343,1168,1394,0,593,28,1257,125,2,2,1.60%,36,123,2,0,0,0
VA,5628,4568,3656,64.96%,4109,1462,57,767,2829,2766,33,163,126,4109,3224,2571,62.57%,1109,212,500,1923,2153,33,59,57,1462,1287,1028,70.31%,267,906,556,0,94,69,57,57,57,100.00%,0,0,57,0,10,0,2840,2537,2478,87.25%,637,2102,738,0,320,19,4188,4188,2675,63.87%,390,1382,2806,0,1766,0,1682,912,912,766,83.99%,105,338,574,0,54,0
VI,132,100,87,65.91%,83,49,0,16,43,89,0,0,0,83,56,43,51.81%,0,0,11,38,45,0,0,0,49,44,44,89.80%,5,5,44,0,0,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,0,0,29,0,4,0,69,69,69,100.00%,25,25,44,0,22,0,12,0,0,0,.,0,0,0,0,0,0
VT,961,809,472,49.12%,649,308,4,146,442,519,0,86,85,649,540,304,46.84%,135,256,105,328,321,0,5,23,308,265,164,53.25%,41,114,194,0,81,62,4,4,4,100.00%,0,0,4,0,0,0,703,703,221,31.44%,212,648,55,0,23,0,609,609,337,55.34%,28,88,521,0,237,0,354,0,0,0,.,0,0,0,0,0,0
WA,14288,12652,9764,68.34%,8428,5815,45,2497,7694,6379,215,569,959,8428,7396,5688,67.49%,926,483,1180,3610,4663,155,102,386,5815,5211,4031,69.32%,1317,4084,1671,60,467,573,45,45,45,100.00%,0,0,45,0,0,0,5906,5718,5118,86.66%,1263,3417,2489,0,749,222,11504,11331,8527,74.12%,1252,3820,7684,0,2924,76,4921,3026,2910,2624,86.72%,643,2197,809,20,94,205
WI,5525,4197,3804,68.85%,3422,2012,91,1042,3164,2305,56,294,208,3422,2491,2280,66.63%,432,288,593,1841,1525,56,2,78,2012,1615,1433,71.22%,449,1323,689,0,292,130,91,91,91,100.00%,0,0,91,0,0,0,1367,1348,1348,98.61%,321,1114,253,0,105,12,3265,3256,2926,89.62%,319,994,2271,0,1071,0,823,460,460,415,90.22%,42,137,323,0,14,0
WV,1657,1334,1053,63.55%,1338,306,13,210,651,996,10,116,10,1338,1032,810,60.54%,40,56,172,553,780,5,37,5,306,289,230,75.16%,38,98,203,5,79,5,13,13,13,100.00%,0,0,13,0,0,0,262,262,255,97.33%,20,68,194,0,93,0,1239,1236,888,71.67%,171,436,803,0,517,9,634,330,330,330,100.00%,26,78,252,0,0,0
WY,698,637,503,72.06%,361,337,0,117,306,367,25,32,31,361,320,258,71.47%,20,0,70,135,215,11,14,11,337,317,245,72.70%,47,171,152,14,18,20,0,0,0,.,0,0,0,0,0,0,25,25,25,100.00%,0,0,25,0,25,0,285,285,56,19.65%,36,83,202,0,229,0,41,0,0,0,.,0,0,0,0,0,0
Total,399439,351168,290151,72.64%,277537,120249,1653,62633,201286,194291,3862,20751,16225,277537,242143,204472,73.67%,19833,15591,42797,141350,133344,2843,4756,6140,120249,107406,84225,70.04%,19836,59936,59294,1019,15681,10077,1653,1619,1454,87.96%,0,0,1653,0,314,8,93718,89537,84512,90.18%,22403,68789,24893,36,18281,2323,353800,351200,258680,73.11%,44393,126186,227523,91,100652,4117,149005,52102,51463,25395,48.74%,10296,34080,17969,53,1857,627

,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
AK,1826,1468,1249,68.40%,1095,731,0,185,633,1166,27,1095,809,701,64.02%,203,17,87,330,738,27,731,659,548,74.97%,98,303,428,0,0,0,0,.,0,0,0,0,72,58,58,80.56%,20,57,15,0,72,58,58,80.56%,20,57,15,0,0,0,0,.,0,0,0,0,653,635,385,58.96%,61,109,544,0,130,130,130,100.00%,8,28,102,0
AL,3489,2952,1931,55.35%,1912,1543,34,402,1218,2219,52,1912,1613,1126,58.89%,76,93,199,564,1316,32,1543,1305,771,49.97%,203,654,869,20,34,34,34,100.00%,0,0,34,0,927,927,628,67.75%,143,491,436,0,927,927,628,67.75%,143,491,436,0,0,0,0,.,0,0,0,0,3394,3394,2174,64.05%,472,1339,2054,1,113,113,93,82.30%,4,12,101,0
AR,2394,1758,907,37.89%,1731,663,0,298,975,1347,72,1731,1147,575,33.22%,74,160,212,720,977,34,663,611,332,50.08%,86,255,370,38,0,0,0,.,0,0,0,0,279,279,279,100.00%,51,133,146,0,254,254,254,100.00%,42,108,146,0,25,25,25,1,9,25,0,0,1149,1149,594,51.70%,154,391,758,0,36,30,30,83.33%,3,11,25,0
AZ,6942,5913,5403,77.83%,3922,2980,40,997,3343,3484,115,3922,3132,2783,70.96%,130,201,445,1492,2353,77,2980,2741,2580,86.58%,552,1851,1091,38,40,40,40,100.00%,0,0,40,0,1902,1867,1867,98.16%,399,1276,626,0,1902,1867,1867,98.16%,399,1276,626,0,0,0,0,.,0,0,0,0,7504,7504,5106,68.04%,796,2525,4979,0,1320,1320,1320,100.00%,230,1001,319,0
CA,42351,37419,28631,67.60%,20240,21966,145,5789,19438,22475,438,20240,17794,12822,63.35%,5393,766,2475,8863,11033,344,21966,19480,15683,71.40%,3314,10575,11297,94,145,145,126,86.90%,0,0,145,0,8807,8625,7432,84.39%,2486,7074,1733,0,8775,8625,7432,84.70%,2474,7042,1733,0,32,0,0,0.00%,12,32,0,0,56416,55872,36306,64.35%,5980,18369,38042,5,2841,2800,2460,86.59%,416,1553,1288,0
CO,7656,6834,4310,56.30%,3541,4048,67,1068,3994,3467,195,3541,2943,1666,47.05%,1139,681,302,1451,2044,46,4048,3849,2602,64.28%,766,2543,1356,149,67,42,42,62.69%,0,0,67,0,1124,1124,1124,100.00%,347,878,246,0,1124,1124,1124,100.00%,347,878,246,0,0,0,0,.,0,0,0,0,3975,3909,3384,85.13%,485,1089,2886,0,54,54,54,100.00%,0,0,54,0
