State,Number of CoCs,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
FL,28,41542,8579,3522,29441,10250,2376,794,7080,9469,2609,1031,5829,132,1,131,19851,4985,1826,13040,21691,3594,1696,16401,28730,1740,2426,24564,7319,577,555,6187,5435,265,708,4462,132,1,131,12886,842,1264,10780,15844,898,1162,13784,12812,6839,1096,4877,2931,1799,239,893,4034,2344,323,1367,6965,4143,562,2260,5847,2696,534,2617,4550,950,1277,2227,2323,7989,1798,105,1903,6086,6843,1612,105,1717,5126,1146,186,186,960,4552,518,2424,207,2128,311
GA,9,16521,2716,1246,12559,4441,962,368,3111,3773,1181,278,2314,0,0,0,8214,2143,646,5425,8307,573,600,7134,12403,94,935,11374,3004,10,278,2716,1928,0,141,1787,0,0,0,4932,10,419,4503,7471,84,516,6871,4118,2622,311,1185,1437,952,90,395,1845,1181,137,527,3282,2133,227,922,836,489,84,263,1291,446,577,1023,268,3004,945,0,945,2059,2645,862,0,862,1783,359,83,83,276,1443,144,647,73,796,71
GU,1,1356,535,149,672,57,27,5,25,69,22,5,42,0,0,0,126,49,10,67,1230,486,139,605,332,4,27,301,16,4,2,10,21,0,0,21,0,0,0,37,4,2,31,295,0,25,270,1024,531,122,371,41,23,3,15,48,22,5,21,89,45,8,36,935,486,114,335,180,10,10,20,160,67,0,0,0,67,24,0,0,0,24,43,0,0,43,36,0,6,0,30,0
HI,2,6918,1864,507,4547,1162,421,82,659,2626,1131,174,1321,25,1,24,3813,1552,257,2004,3105,312,250,2543,3750,15,287,3448,481,7,37,437,658,0,37,621,25,1,24,1164,7,75,1082,2586,8,212,2366,3168,1849,220,1099,681,414,45,222,1968,1131,137,700,2649,1545,182,922,519,304,38,177,790,168,495,663,127,1301,177,22,199,1102,1109,123,22,145,964,192,54,54,138,593,43,247,20,346,23
IA,3,3122,1030,311,1781,1387,318,136,933,1539,700,163,676,0,0,0,2926,1018,299,1609,196,12,12,172,1544,8,171,1365,884,1,95,788,484,7,65,412,0,0,0,1368,8,160,1200,176,0,11,165,1578,1022,140,416,503,317,41,145,1055,693,98,264,1558,1010,139,409,20,12,1,7,487,153,329,482,5,244,154,0,154,90,211,121,0,121,90,33,33,33,0,202,17,177,15,25,2
ID,2,2104,518,186,1400,739,137,74,528,729,247,53,429,0,0,0,1468,384,127,957,636,134,59,443,1234,6,111,1117,525,6,54,465,323,0,21,302,0,0,0,848,6,75,767,386,0,36,350,870,512,75,283,214,131,20,63,406,247,32,127,620,378,52,190,250,134,23,93,264,72,125,197,67,244,105,0,105,139,156,69,0,69,87,88,36,36,52,215,27,135,12,80,15
IL,20,13107,3592,1450,8065,5031,872,525,3634,6281,2643,762,2876,97,7,90,11409,3515,1294,6600,1698,77,156,1465,7350,63,805,6482,3539,20,335,3184,2157,36,342,1779,97,7,90,5793,56,684,5053,1557,7,121,1429,5757,3529,645,1583,1492,852,190,450,4124,2607,420,1097,5616,3459,610,1547,141,70,35,36,1880,511,1313,1824,56,1488,943,67,1010,478,1349,824,67,891,458,139,119,119,20,1234,108,913,56,321,52
IN,3,5971,1277,546,4148,3376,618,347,2411,2170,651,142,1377,22,1,21,5568,1269,490,3809,403,8,56,339,3953,22,381,3550,2362,12,264,2086,1176,9,61,1106,22,1,21,3560,21,326,3213,393,1,55,337,2018,1255,165,598,1014,606,83,325,994,642,81,271,2008,1248,164,596,10,7,1,2,654,342,309,651,3,596,470,15,485,111,542,418,15,433,109,54,52,52,2,725,41,687,41,38,0
KS,5,2783,707,192,1884,1460,264,99,1097,1064,437,69,558,10,0,10,2534,701,168,1665,249,6,24,219,1533,2,118,1413,941,0,71,870,344,2,25,317,10,0,10,1295,2,96,1197,238,0,22,216,1250,705,74,471,519,264,28,227,720,435,44,241,1239,699,72,468,11,6,2,3,395,174,217,391,4,320,211,1,212,108,290,183,1,184,106,30,28,28,2,393,17,356,13,37,4
KY,3,5089,1073,484,3532,2382,417,196,1769,1865,510,193,1162,11,0,11,4258,927,389,2942,831,146,95,590,3352,33,317,3002,1761,33,152,1576,1033,0,90,943,11,0,11,2805,33,242,2530,547,0,75,472,1737,1040,167,530,621,384,44,193,832,510,103,219,1453,894,147,412,284,146,20,118,564,202,294,496,68,727,496,3,499,228,614,421,3,424,190,113,75,75,38,600,37,558,36,42,1
LA,9,4606,860,470,3276,1451,216,130,1105,2030,622,199,1209,22,4,18,3503,838,333,2332,1103,22,137,944,3444,127,376,2941,1141,24,107,1010,1201,95,130,976,22,4,18,2364,119,241,2004,1080,8,135,937,1162,733,94,335,310,192,23,95,829,527,69,233,1139,719,92,328,23,14,2,7,376,109,259,368,8,776,259,3,262,514,743,229,3,232,511,33,30,30,3,437,37,332,32,105,5
MA,18,21237,8916,1975,10346,16835,8118,1576,7141,3576,789,300,2487,67,0,67,20478,8907,1876,9695,759,9,99,651,6788,22,599,6167,3757,7,365,3385,2217,11,137,2069,67,0,67,6041,18,502,5521,747,4,97,646,14449,8894,1376,4179,13078,8111,1211,3756,1359,778,163,418,14437,8889,1374,4174,12,5,2,5,4781,4275,502,4777,4,3311,2952,54,3006,305,1590,1231,54,1285,305,1721,1721,1721,0,1264,76,1234,74,30,2
MD,16,7856,1812,592,5452,3703,779,304,2620,2469,736,147,1586,95,1,94,6267,1515,452,4300,1589,297,140,1152,4980,32,381,4567,2470,18,207,2245,1307,4,69,1234,95,1,94,3872,22,277,3573,1108,10,104,994,2876,1780,211,885,1233,761,97,375,1162,732,78,352,2395,1493,175,727,481,287,36,158,948,415,388,803,145,1740,1066,69,1135,605,1515,928,69,997,518,225,138,138,87,654,50,555,35,99,15
ME,2,2726,793,315,1618,1107,229,142,736,1515,558,148,809,11,0,11,2633,787,290,1556,93,6,25,62,1348,28,204,1116,758,20,112,626,513,8,74,431,11,0,11,1282,28,186,1068,66,0,18,48,1378,765,111,502,349,209,30,110,1002,550,74,378,1351,759,104,488,27,6,7,14,388,108,268,376,12,244,213,5,218,26,218,195,5,200,18,26,18,18,8,152,9,138,8,14,1
MI,21,12227,3145,1396,7686,5513,1220,582,3711,4522,1580,535,2407,40,1,39,10075,2800,1118,6157,2152,345,278,1529,7535,274,946,6315,3742,126,427,3189,2134,75,303,1756,40,1,39,5916,201,731,4984,1619,73,215,1331,4692,2871,450,1371,1771,1094,155,522,2388,1505,232,651,4159,2599,387,1173,533,272,63,198,1521,550,780,1330,191,1293,806,19,825,468,1160,726,19,745,415,133,80,80,53,1122,73,994,65,128,8
MN,10,8377,3034,983,4360,4414,1578,368,2468,3168,1369,489,1310,0,0,0,7582,2947,857,3778,795,87,126,582,3652,59,588,3005,2072,23,246,1803,934,26,232,676,0,0,0,3006,49,478,2479,646,10,110,526,4725,2975,395,1355,2342,1555,122,665,2234,1343,257,634,4576,2898,379,1299,149,77,16,56,1422,642,741,1383,39,1235,889,0,889,346,885,562,0,562,323,350,327,327,23,317,19,263,17,54,2
MO,8,7282,1910,594,4778,3521,910,224,2387,2732,869,261,1602,56,4,52,6309,1779,489,4041,973,131,105,737,4307,94,344,3869,2140,49,129,1962,1455,40,146,1269,56,4,52,3651,89,279,3283,656,5,65,586,2975,1816,250,909,1381,861,95,425,1277,829,115,333,2658,1690,210,758,317,126,40,151,902,432,381,813,89,997,683,31,714,283,735,438,31,469,266,262,245,245,17,652,59,563,53,89,6
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,2226,355,184,1687,732,137,55,540,673,195,70,408,0,0,0,1405,332,125,948,821,23,59,739,1714,40,139,1535,559,31,42,486,374,9,40,325,0,0,0,933,40,82,811,781,0,57,724,512,315,45,152,173,106,13,54,299,186,30,83,472,292,43,137,40,23,2,15,179,60,105,165,14,282,79,0,79,203,275,74,0,74,201,7,5,5,2,279,22,221,18,58,4
MT,1,1745,354,232,1159,471,83,42,346,440,169,40,231,0,0,0,911,252,82,577,834,102,150,582,1167,19,184,964,319,1,30,288,174,8,16,150,0,0,0,493,9,46,438,674,10,138,526,578,335,48,195,152,82,12,58,266,161,24,81,418,243,36,139,160,92,12,56,166,42,80,122,44,270,77,0,77,193,256,71,0,71,185,14,6,6,8,256,15,94,8,162,7
NC,12,11491,2548,1028,7915,5631,1067,463,4101,3243,925,227,2091,0,0,0,8874,1992,690,6192,2617,556,338,1723,7498,73,690,6735,3963,34,341,3588,1775,6,113,1656,0,0,0,5738,40,454,5244,1760,33,236,1491,3993,2475,338,1180,1668,1033,122,513,1468,919,114,435,3136,1952,236,948,857,523,102,232,1303,561,471,1032,271,1431,720,0,720,711,1284,639,0,639,645,147,81,81,66,1164,94,982,80,182,14
ND,1,1258,217,129,912,639,128,66,445,155,41,26,88,0,0,0,794,169,92,533,464,48,37,379,886,3,99,784,439,0,42,397,87,3,23,61,0,0,0,526,3,65,458,360,0,34,326,372,214,30,128,200,128,24,48,68,38,3,27,268,166,27,75,104,48,3,53,120,63,25,88,32,115,101,0,101,14,111,97,0,97,14,4,4,4,0,151,13,117,13,34,0
NE,3,3026,765,311,1950,1584,314,147,1123,1333,437,160,736,0,0,0,2917,751,307,1859,109,14,4,91,1893,42,218,1633,1136,27,112,997,652,3,102,547,0,0,0,1788,30,214,1544,105,12,4,89,1133,723,93,317,448,287,35,126,681,434,58,189,1129,721,93,315,4,2,0,2,347,136,210,346,1,426,397,0,397,29,365,336,0,336,29,61,61,61,0,241,11,224,11,17,0
NH,3,1376,329,139,908,710,136,56,518,526,186,70,270,7,0,7,1243,322,126,795,133,7,13,113,795,1,93,701,464,0,41,423,205,0,40,165,7,0,7,676,0,81,595,119,1,12,106,581,328,46,207,246,136,15,95,321,186,30,105,567,322,45,200,14,6,1,7,213,88,119,207,6,338,279,7,286,52,301,244,7,251,50,37,35,35,2,171,17,162,17,9,0
NJ,17,11671,3287,1198,7186,7692,2106,827,4759,2989,1165,327,1497,55,4,51,10736,3271,1158,6307,935,16,40,879,6446,89,658,5699,4325,61,457,3807,1156,26,159,971,55,4,51,5536,87,620,4829,910,2,38,870,5225,3198,540,1487,3367,2045,370,952,1833,1139,168,526,5200,3184,538,1478,25,14,2,9,1716,1106,602,1708,8,1399,996,11,1007,392,1150,749,11,760,390,249,247,247,2,630,48,554,41,76,7
NM,2,2746,750,243,1753,1409,290,86,1033,909,416,78,415,0,0,0,2318,706,164,1448,428,44,79,305,1804,151,173,1480,1090,89,68,933,339,42,43,254,0,0,0,1429,131,111,1187,375,20,62,293,942,599,70,273,319,201,18,100,570,374,35,161,889,575,53,261,53,24,17,12,306,123,164,287,19,709,490,0,490,219,617,458,0,458,159,92,32,32,60,318,28,258,19,60,9
NV,3,8582,1542,1206,5834,3582,627,254,2701,1205,171,146,888,10,0,10,4797,798,400,3599,3785,744,806,2235,7356,782,1117,5457,2612,24,196,2392,949,14,115,820,10,0,10,3571,38,311,3222,3785,744,806,2235,1226,760,89,377,970,603,58,309,256,157,31,68,1226,760,89,377,0,0,0,0,397,310,87,397,0,705,101,3,104,601,697,93,3,96,601,8,8,8,0,1036,133,546,24,490,109
NY,29,80590,28588,8608,43394,66893,26469,7009,33415,9405,2072,1328,6005,189,4,185,76487,28541,8341,39605,4103,47,267,3789,32643,151,3664,28828,22476,84,2549,19843,5935,58,855,5022,189,4,185,28600,142,3408,25050,4043,9,256,3778,47947,28437,4944,14566,44417,26385,4460,13572,3470,2014,473,983,47887,28399,4933,14555,60,38,11,11,14338,13061,1258,14319,19,7212,4609,174,4783,2429,4350,1773,174,1947,2403,2862,2836,2836,26,2542,331,2085,304,457,27
OH,9,11823,2599,1236,7988,7043,1506,714,4823,3604,998,426,2180,73,0,73,10720,2504,1140,7076,1103,95,96,912,7704,38,812,6854,4702,30,492,4180,1994,7,243,1744,73,0,73,6769,37,735,5997,935,1,77,857,4119,2561,424,1134,2341,1476,222,643,1610,991,183,436,3951,2467,405,1079,168,94,19,55,1314,723,538,1261,53,1481,977,32,1009,472,1340,862,32,894,446,141,115,115,26,1236,81,1102,75,134,6
OK,8,4191,749,420,3022,2499,438,192,1869,710,183,87,440,50,1,49,3259,621,280,2358,932,128,140,664,2964,36,324,2604,1839,27,149,1663,402,0,65,337,50,1,49,2291,27,215,2049,673,9,109,555,1227,713,96,418,660,411,43,206,308,183,22,103,968,594,65,309,259,119,31,109,400,219,103,322,78,671,397,19,416,255,585,347,19,366,219,86,50,50,36,408,11,273,10,135,1
OR,7,12164,2685,1174,8305,2767,481,206,2080,3324,1070,332,1922,10,1,9,6101,1551,539,4011,6063,1134,635,4294,7988,232,886,6870,2079,83,151,1845,1576,34,183,1359,10,1,9,3665,117,335,3213,4323,115,551,3657,4176,2453,288,1435,688,398,55,235,1748,1036,149,563,2436,1434,204,798,1740,1019,84,637,1275,224,562,786,489,2695,567,10,577,2118,2207,495,10,505,1702,488,72,72,416,1292,118,702,70,590,48
PA,18,15333,4287,1775,9271,7733,1910,834,4989,6294,2318,812,3164,274,7,267,14301,4228,1653,8420,1032,59,122,851,8359,28,953,7378,4721,21,521,4179,2425,7,311,2107,274,7,267,7420,28,839,6553,939,0,114,825,6974,4259,822,1893,3012,1889,313,810,3869,2311,501,1057,6881,4200,814,1867,93,59,8,26,2384,1018,1339,2357,27,1607,927,207,1134,473,1449,776,207,983,466,158,151,151,7,1411,109,1336,104,75,5
PR,2,4132,398,209,3525,406,41,34,331,936,202,82,652,64,0,64,1406,243,116,1047,2726,155,93,2478,3432,4,150,3278,335,0,22,313,620,0,48,572,64,0,64,1019,0,70,949,2413,4,80,2329,700,394,59,247,71,41,12,18,316,202,34,80,387,243,46,98,313,151,13,149,208,30,100,130,78,2063,146,48,194,1869,1567,146,48,194,1373,496,0,0,496,87,2,45,1,42,1
RI,1,1190,251,99,840,803,132,71,600,345,118,24,203,22,0,22,1170,250,95,825,20,1,4,15,779,0,62,717,590,0,54,536,149,0,5,144,22,0,22,761,0,59,702,18,0,3,15,411,251,37,123,213,132,17,64,196,118,19,59,409,250,36,123,2,1,1,0,132,66,65,131,1,204,177,21,198,6,204,177,21,198,6,0,0,0,0,108,7,108,7,0,0
SC,4,5057,858,366,3833,1782,303,131,1348,1455,365,114,976,12,0,12,3249,668,245,2336,1808,190,121,1497,3813,6,293,3514,1364,6,111,1247,876,0,69,807,12,0,12,2252,6,180,2066,1561,0,113,1448,1244,852,73,319,418,297,20,101,579,365,45,169,997,662,65,270,247,190,8,49,445,136,201,337,108,273,88,12,100,173,273,88,12,100,173,0,0,0,0,703,59,399,33,304,26
SD,1,885,247,79,559,528,130,38,360,302,109,39,154,0,0,0,830,239,77,514,55,8,2,45,490,7,52,431,321,0,31,290,129,7,19,103,0,0,0,450,7,50,393,40,0,2,38,395,240,27,128,207,130,7,70,173,102,20,51,380,232,27,121,15,8,0,7,121,65,52,117,4,118,92,0,92,26,81,68,0,68,13,37,24,24,13,132,4,128,4,4,0
TN,10,9415,1390,738,7287,4160,544,317,3299,2206,508,142,1556,17,0,17,6383,1052,459,4872,3032,338,279,2415,6800,10,571,6219,3278,6,255,3017,1398,0,94,1304,17,0,17,4693,6,349,4338,2107,4,222,1881,2615,1380,167,1068,882,538,62,282,808,508,48,252,1690,1046,110,534,925,334,57,534,804,271,227,498,306,2195,1347,17,1364,831,1904,1152,17,1169,735,291,195,195,96,1142,145,920,133,222,12
TX,12,28495,5873,2143,20479,10601,2325,680,7596,7494,2810,608,4076,133,4,129,18228,5135,1292,11801,10267,738,851,8678,19177,741,1598,16838,6583,199,454,5930,3042,72,333,2637,133,4,129,9758,271,791,8696,9419,470,807,8142,9318,5132,545,3641,4018,2126,226,1666,4452,2738,275,1439,8470,4864,501,3105,848,268,44,536,2784,1193,1356,2549,235,5416,2140,91,2231,3185,4952,1801,91,1892,3060,464,339,339,125,2718,501,1576,237,1142,264
