State,Number of CoCs,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
AK,2,1784,397,202,1185,1139,205,118,816,500,160,59,281,0,0,0,1639,365,177,1097,145,32,25,88,1209,18,181,1010,848,14,101,733,261,3,55,203,0,0,0,1109,17,156,936,100,1,25,74,575,379,21,175,291,191,17,83,239,157,4,78,530,348,21,161,45,31,0,14,193,108,71,179,14,206,137,0,137,69,182,119,0,119,63,24,18,18,6,178,7,160,7,18,0
AL,8,4561,772,366,3423,1851,228,157,1466,1636,411,100,1125,31,4,27,3518,639,261,2618,1043,133,105,805,3115,16,262,2837,1419,11,120,1288,923,2,72,849,31,4,27,2373,13,196,2164,742,3,66,673,1446,756,104,586,432,217,37,178,713,409,28,276,1145,626,65,454,301,130,39,132,457,141,216,357,100,729,257,26,283,446,618,219,26,245,373,111,38,38,73,542,49,450,38,92,11
AR,6,2936,355,315,2266,1021,125,117,779,482,132,26,324,0,0,0,1503,257,143,1103,1433,98,172,1163,2303,25,250,2028,775,5,93,677,295,18,15,262,0,0,0,1070,23,108,939,1233,2,142,1089,633,330,65,238,246,120,24,102,187,114,11,62,433,234,35,164,200,96,30,74,240,108,64,172,68,519,85,0,85,434,516,82,0,82,434,3,3,3,0,361,71,220,68,141,3
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,10495,2679,1024,6792,4291,1052,372,2867,3595,1519,422,1654,40,4,36,7926,2571,798,4557,2569,108,226,2235,6194,64,667,5463,2589,36,232,2321,1222,25,221,976,40,4,36,3851,61,457,3333,2343,3,210,2130,4301,2615,357,1329,1702,1016,140,546,2373,1494,201,678,4075,2510,341,1224,226,105,16,105,1295,532,702,1234,61,959,297,19,316,643,904,284,19,303,601,55,13,13,42,858,62,635,50,223,12
CA,40,113952,15057,13853,85042,20964,4379,1588,14997,21365,6364,2726,12275,186,1,185,42515,10743,4315,27457,71437,4314,9538,57585,90765,1999,11927,76839,14114,250,1033,12831,10557,105,1687,8765,186,1,185,24857,355,2721,21781,65908,1644,9206,55058,23187,13058,1926,8203,6850,4129,555,2166,10808,6259,1039,3510,17658,10388,1594,5676,5529,2670,332,2527,6956,1944,3184,5128,1828,31078,5017,114,5131,25947,28200,4303,114,4417,23783,2878,714,714,2164,12096,1038,4457,458,7639,580
CO,3,10028,2835,1004,6189,4002,697,344,2961,4058,1928,444,1686,23,0,23,8083,2625,788,4670,1945,210,216,1519,5573,168,600,4805,2849,12,257,2580,1163,149,169,845,23,0,23,4035,161,426,3448,1538,7,174,1357,4455,2667,404,1384,1153,685,87,381,2895,1779,275,841,4048,2464,362,1222,407,203,42,162,1317,352,835,1187,130,1621,747,0,747,874,1335,635,0,635,700,286,112,112,174,753,63,528,44,225,19
CT,6,4450,836,308,3306,2481,462,183,1836,1050,318,67,665,0,0,0,3531,780,250,2501,919,56,58,805,3069,5,189,2875,1730,4,114,1612,513,1,22,490,0,0,0,2243,5,136,2102,826,0,53,773,1381,831,119,431,751,458,69,224,537,317,45,175,1288,775,114,399,93,56,5,32,495,263,195,458,37,1215,847,0,847,368,1026,696,0,696,330,189,151,151,38,295,14,221,13,74,1
DC,1,7748,2241,837,4670,5754,1725,615,3414,1598,516,204,878,0,0,0,7352,2241,819,4292,396,0,18,378,3953,5,210,3738,2828,3,117,2708,729,2,75,652,0,0,0,3557,5,192,3360,396,0,18,378,3795,2236,627,932,2926,1722,498,706,869,514,129,226,3795,2236,627,932,0,0,0,0,1231,907,324,1231,0,2029,1694,0,1694,335,1609,1274,0,1274,335,420,420,420,0,406,47,375,45,31,2
DE,1,901,220,51,630,435,83,19,333,429,133,30,266,0,0,0,864,216,49,599,37,4,2,31,584,15,37,532,318,8,13,297,236,7,22,207,0,0,0,554,15,35,504,30,0,2,28,317,205,14,98,117,75,6,36,193,126,8,59,310,201,14,95,7,4,0,3,104,40,62,102,2,91,82,0,82,9,88,79,0,79,9,3,3,3,0,93,5,89,5,4,0
