State,Number of CoCs,"Overall Homeless, 2010","Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Overall Homeless Veterans, 2010","Sheltered Total Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
AK,2,1863,1013,658,0,1671,192,1118,641,312,0,953,165,745,372,346,718,27,244,113,123,236,8,0,164,119,0,119,45,300,270,30
AL,8,6046,1428,2463,0,3891,2155,4553,997,1860,0,2857,1696,1493,431,603,1034,459,551,155,234,389,162,0,1043,502,0,502,541,1089,911,178
AR,5,2762,668,1060,0,1728,1034,2120,542,770,0,1312,808,642,126,290,416,226,222,52,85,137,85,0,395,145,0,145,250,362,247,115
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,13711,3503,3671,40,7214,6497,9226,2018,1308,40,3366,5860,4485,1485,2363,3848,637,1372,452,740,1192,180,25,1935,519,25,544,1391,2230,1052,1178
CA,43,123480,23701,27115,83,50899,72581,96940,16992,15227,83,32302,64638,26540,6709,11888,18597,7943,8810,2234,3980,6214,2596,67,31235,6897,67,6964,24271,17604,6600,11004
CO,3,15482,4895,4136,0,9031,6451,7574,3083,1493,0,4576,2998,7908,1812,2643,4455,3453,2234,541,812,1353,881,0,1432,510,0,510,922,1316,853,463
CT,10,4316,2314,1503,0,3817,499,2993,1635,876,0,2511,482,1323,679,627,1306,17,447,225,215,440,7,0,777,595,0,595,182,483,423,60
DC,1,6539,3584,2512,13,6109,430,4016,2593,980,13,3586,430,2523,991,1532,2523,0,800,318,482,800,0,13,2110,1710,13,1723,387,579,563,16
DE,1,982,481,439,10,930,52,681,358,261,10,629,52,301,123,178,301,0,111,50,61,111,0,7,97,64,7,71,26,74,69,5
