coc_number,coc_name,sheltered_total_homeless_individuals,unsheltered_homeless_individuals,homeless_individuals,sheltered_total_homeless_people_in_families,unsheltered_homeless_people_in_families,homeless_people_in_families,sheltered_homeless,unsheltered_homeless,sheltered_total_homeless_veterans,unsheltered_homeless_veterans,homeless_veterans,sheltered_total_homeless_unaccompanied_youth_under_25,unsheltered_homeless_unaccompanied_youth_under_25,total_homeless_unaccompanied_youth_under_25,total_homeless,es_sh_th_avg_days,total_persons_returns_in_6_mths,total_persons_returns_in_12_mths_should_include_the_6_month_cohort,total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,percent_with_successful_es_th_sh_ph_rrh_exit,percent_with_successful_ph_retention_or_exit,amount,chronically_homeless
OH-507,Ohio Balance of State CoC,1287,522,1809,1213,111,1324,2500,633,141,21,162,145,39,184,3133,61,851,1339,1969,70%,97%,382756,196
OH-508,"Canton, Massillon, Alliance/Stark County CoC",105,40,145,133,0,133,238,40,10,5,15,6,4,10,278,54,75,113,146,61%,96%,131146,3
OK-500,North Central Oklahoma CoC,63,35,98,78,5,83,141,40,0,1,1,17,1,18,181,41,14,31,38,51%,80%,3608512,7
OK-501,Tulsa City & County CoC,658,218,876,199,8,207,857,226,89,24,113,70,52,122,1083,64,52,80,111,13%,96%,24284354,159
OK-502,Oklahoma City CoC,591,349,940,198,45,243,789,394,85,36,121,41,12,53,1183,173,61,100,148,35%,91%,248204,260
OK-503,Oklahoma Balance of State CoC,4,43,47,74,112,186,78,155,3,2,5,0,5,5,233,473,6,6,6,71%,87%,665492,42
OK-504,Norman/Cleveland County CoC,104,227,331,33,0,33,137,227,5,10,15,2,11,13,364,90,1,3,6,12%,95%,3233919,303
OK-505,Northeast Oklahoma CoC,208,24,232,133,27,160,341,51,13,2,15,54,3,57,392,75,30,36,41,43%,83%,3853943,93
OK-506,Southwest Oklahoma Regional CoC,76,38,114,74,3,77,150,41,4,25,29,14,2,16,191,NA,NA,NA,NA,NA,NA,2701875,0
OK-507,Southeastern Oklahoma Regional CoC,144,41,185,43,16,59,187,57,7,7,14,28,1,29,244,29,13,37,48,71%,88%,34507318,44
OR-500,"Eugene, Springfield/Lane County CoC",369,1021,1390,138,113,251,507,1134,53,120,173,34,98,132,1641,86,89,119,176,20%,96%,1835657,712
OR-501,"Portland, Gresham/Multnomah County CoC",1803,1591,3394,548,77,625,2351,1668,265,183,448,182,132,314,4019,114,461,827,1274,50%,96%,5163693,1384
OR-502,"Medford, Ashland/Jackson County CoC",307,317,624,96,12,108,403,329,82,34,116,37,27,64,732,134,28,50,80,57%,89%,4261680,259
OR-503,Central Oregon CoC,198,390,588,34,165,199,232,555,24,36,60,42,56,98,787,61,56,76,104,37%,91%,3224611,172
OR-505,Oregon Balance of State CoC,1243,3176,4419,615,1358,1973,1858,4534,128,346,474,168,473,641,6392,93,109,164,220,49%,93%,1707231,1503
OR-506,"Hillsboro, Beaverton/Washington County CoC",91,316,407,72,43,115,163,359,47,24,71,20,25,45,522,112,10,30,43,62%,94%,2923439,166
OR-507,Clackamas County CoC,16,301,317,21,45,66,37,346,1,20,21,7,8,15,383,66,3,6,8,34%,96%,2906992,125
PA-500,Philadelphia CoC,2506,1083,3589,2199,0,2199,4705,1083,203,36,239,204,96,300,5788,170,96,140,227,25%,98%,12487079,943
PA-501,Harrisburg/Dauphin County CoC,225,35,260,185,0,185,410,35,33,6,39,12,1,13,445,125,16,29,54,48%,94%,2322334,47
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",181,53,234,180,0,180,361,53,6,0,6,15,3,18,414,113,21,29,55,53%,97%,1293954,33
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",89,6,95,70,0,70,159,6,9,0,9,15,0,15,165,50,121,142,184,62%,97%,1370705,0
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",121,20,141,150,0,150,271,20,8,0,8,5,0,5,291,147,58,125,209,58%,96%,20406399,20
PA-505,Chester County CoC,352,13,365,214,0,214,566,13,206,0,206,6,0,6,579,128,74,121,183,59%,96%,9900291,11
PA-506,Reading/Berks County CoC,395,11,406,156,0,156,551,11,39,0,39,20,1,21,562,139,162,278,408,43%,91%,1478372,5
PA-508,Scranton/Lackawanna County CoC,95,5,100,59,0,59,154,5,33,0,33,8,0,8,159,87,21,62,99,60%,98%,2261076,12
PA-509,Eastern Pennsylvania CoC,782,326,1108,870,20,890,1652,346,85,12,97,113,30,143,1998,96,106,170,238,56%,96%,13407969,91
PA-510,Lancaster City & County CoC,210,16,226,180,0,180,390,16,30,2,32,15,0,15,406,82,32,69,98,75%,91%,5275620,22
PA-511,"Bristol, Bensalem/Bucks County CoC",175,19,194,203,0,203,378,19,10,3,13,11,2,13,397,219,6,19,36,50%,94%,7160233,25
PA-512,York City & County CoC,137,30,167,154,3,157,291,33,9,2,11,20,1,21,324,50,39,92,158,47%,95%,1952972,13
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",453,56,509,274,0,274,727,56,112,3,115,34,2,36,783,98,48,67,93,58%,95%,3154564,117
PA-601,Western Pennsylvania CoC,440,31,471,270,7,277,710,38,97,5,102,47,7,54,748,90,87,136,195,73%,97%,3224294,46
PA-603,Beaver County CoC,61,6,67,50,0,50,111,6,3,1,4,2,0,2,117,119,19,35,47,52%,96%,2522901,3
PA-605,Erie City & County CoC,227,4,231,105,0,105,332,4,27,2,29,14,0,14,336,75,96,143,196,48%,93%,1316523,20
PR-502,Puerto Rico Balance of Commonwealth CoC,355,1172,1527,87,29,116,442,1201,5,42,47,9,37,46,1643,195,98,147,190,51%,97%,2556777,662
PR-503,South-Southeast Puerto Rico CoC,225,1169,1394,3,142,145,228,1311,13,22,35,6,52,58,1539,200,49,74,148,67%,96%,6773478,429
RI-500,Rhode Island Statewide CoC,698,49,747,352,2,354,1050,51,100,3,103,38,1,39,1101,124,181,285,400,44%,96%,1412759,264
SC-500,Charleston/Low Country CoC,254,103,357,83,11,94,337,114,106,13,119,8,19,27,451,72,66,126,192,49%,97%,1862709,86
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",624,292,916,225,44,269,849,336,57,22,79,44,12,56,1185,119,34,57,119,49%,99%,3594038,181
SC-502,Columbia/Midlands CoC,766,188,954,239,12,251,1005,200,124,22,146,67,13,80,1205,88,211,286,357,33%,98%,750733,248
SC-503,"Myrtle Beach, Sumter City & County CoC",324,531,855,74,163,237,398,694,33,38,71,51,23,74,1092,86,80,118,154,42%,91%,1679678,171
SD-500,South Dakota Statewide CoC,598,238,836,276,47,323,874,285,89,21,110,42,19,61,1159,125,69,93,120,29%,89%,1690283,190
TN-500,Chattanooga/Southeast Tennessee CoC,210,288,498,120,5,125,330,293,22,34,56,8,5,13,623,52,39,89,133,54%,98%,636524,322
TN-501,Memphis/Shelby County CoC,776,102,878,348,0,348,1124,102,218,13,231,64,6,70,1226,110,125,243,418,46%,96%,531317,87
TN-502,Knoxville/Knox County CoC,506,168,674,51,18,69,557,186,66,0,66,30,55,85,743,65,82,122,182,78%,87%,9729143,177
TN-503,Central Tennessee CoC,165,20,185,79,4,83,244,24,35,3,38,53,5,58,268,66,40,66,102,29%,87%,6780538,46
TN-504,Nashville-Davidson County CoC,1487,616,2103,195,0,195,1682,616,172,87,259,71,14,85,2298,154,82,127,174,57%,86%,16562289,637
TN-506,Upper Cumberland CoC,121,29,150,91,17,108,212,46,7,1,8,7,1,8,258,65,8,14,36,60%,97%,13306444,9
TN-507,Jackson/West Tennessee CoC,85,521,606,37,383,420,122,904,2,3,5,0,52,52,1026,69,9,13,27,83%,98%,3098524,72
TN-509,Appalachian Regional CoC,181,110,291,69,0,69,250,110,21,16,37,13,9,22,360,36,34,61,106,39%,95%,1043307,51
TN-510,Murfreesboro/Rutherford County CoC,159,70,229,50,4,54,209,74,6,11,17,3,5,8,283,1,0,0,0,3%,78%,7342787,100
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",163,362,525,135,138,273,298,500,7,18,25,29,55,84,798,220,3,3,7,50%,90%,592838,162
TX-500,San Antonio/Bexar County CoC,912,1353,2265,801,0,801,1713,1353,168,60,228,60,102,162,3066,114,274,486,770,42%,98%,333323,479
TX-503,Austin/Travis County CoC,587,1008,1595,546,6,552,1133,1014,102,68,170,47,51,98,2147,86,123,200,297,29%,97%,38155969,498
TX-600,"Dallas City & County, Irving CoC",1853,1334,3187,927,7,934,2780,1341,254,66,320,187,53,240,4121,111,214,332,524,21%,97%,298095,587
TX-601,"Fort Worth, Arlington/Tarrant County CoC",936,669,1605,401,9,410,1337,678,128,31,159,54,33,87,2015,49,134,234,407,39%,98%,7887527,278
TX-603,El Paso City & County CoC,395,177,572,320,0,320,715,177,58,23,81,44,21,65,892,68,118,211,302,66%,93%,1817218,151
TX-604,Waco/McLennan County CoC,59,58,117,71,0,71,130,58,13,10,23,8,3,11,188,67,5,10,17,17%,99%,1198418,22
TX-607,Texas Balance of State CoC,1889,3878,5767,1671,200,1871,3560,4078,144,307,451,160,283,443,7638,53,190,354,552,37%,95%,4754160,644
TX-611,Amarillo CoC,488,107,595,70,0,70,558,107,38,7,45,34,1,35,665,180,6,7,7,50%,100%,3869707,47
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",172,40,212,23,3,26,195,43,12,3,15,27,8,35,238,30,0,5,14,48%,95%,890645,19
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",1548,1614,3162,981,0,981,2529,1614,225,218,443,132,70,202,4143,82,451,611,850,28%,93%,1858231,669
TX-701,"Bryan, College Station/Brazos Valley CoC",78,44,122,48,27,75,126,71,0,0,0,1,0,1,197,53,6,11,18,28%,NA,380319,10
UT-500,Salt Lake City & County CoC,1048,136,1184,620,0,620,1668,136,180,7,187,103,9,112,1804,70,751,1012,1260,20%,93%,2014410,227
UT-503,Utah Balance of State CoC,368,237,605,292,2,294,660,239,40,7,47,45,21,66,899,44,217,308,473,45%,86%,1200937,56
UT-504,Provo/Mountainland CoC,70,45,115,58,0,58,128,45,2,3,5,9,4,13,173,34,124,182,205,41%,90%,371921,23
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",381,104,485,124,0,124,505,104,82,10,92,28,8,36,609,40,187,289,404,37%,96%,371331,90
VA-501,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",482,80,562,211,0,211,693,80,69,8,77,24,2,26,773,98,32,73,134,34%,98%,320381,90
VA-502,"Roanoke City & County, Salem CoC",217,11,228,89,0,89,306,11,37,0,37,10,1,11,317,37,44,67,141,19%,98%,1062938,36
VA-503,Virginia Beach CoC,135,63,198,36,9,45,171,72,24,9,33,18,5,23,243,66,49,71,91,45%,95%,2832598,40
VA-504,Charlottesville CoC,114,28,142,41,0,41,155,28,9,5,14,8,1,9,183,55,13,23,37,23%,100%,9126856,41
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",246,70,316,123,0,123,369,70,52,6,58,18,4,22,439,88,25,53,78,41%,97%,181940,63
VA-507,Portsmouth CoC,56,28,84,51,0,51,107,28,8,4,12,3,0,3,135,109,7,10,16,48%,96%,867832,13
VA-508,Lynchburg CoC,64,20,84,28,0,28,92,20,8,2,10,14,4,18,112,37,12,18,35,40%,97%,721514,8
VA-513,"Harrisburg, Winchester/Western Virginia CoC",192,25,217,84,3,87,276,28,12,3,15,7,0,7,304,70,34,50,66,50%,93%,192882,42
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",95,33,128,69,3,72,164,36,18,4,22,10,1,11,200,63,41,65,98,45%,92%,3669079,36
VA-521,Virginia Balance of State CoC,291,130,421,262,35,297,553,165,28,8,36,22,9,31,718,39,71,107,169,61%,96%,1205892,38
VA-600,Arlington County CoC,109,35,144,77,0,77,186,35,6,2,8,2,0,2,221,134,20,29,50,52%,93%,40191419,57
VA-601,Fairfax County CoC,413,86,499,488,0,488,901,86,22,11,33,51,2,53,987,95,188,306,389,44%,97%,8049065,173
VA-602,Loudoun County CoC,62,24,86,48,0,48,110,24,6,0,6,6,1,7,134,55,15,23,27,43%,100%,3778347,28
VA-603,Alexandria CoC,127,15,142,84,0,84,211,15,8,0,8,7,0,7,226,118,27,42,56,43%,96%,3449417,60
VA-604,Prince William County CoC,82,110,192,179,3,182,261,113,11,13,24,9,11,20,374,87,54,79,118,45%,100%,9868888,82
VI-500,Virgin Islands CoC,108,307,415,71,0,71,179,307,7,17,24,2,2,4,486,423,8,11,14,30%,87%,1957595,307
VT-500,Vermont Balance of State CoC,473,52,525,394,13,407,867,65,72,7,79,70,8,78,932,106,103,158,243,62%,95%,10365263,118
VT-501,Burlington/Chittenden County CoC,238,17,255,104,0,104,342,17,24,1,25,23,0,23,359,99,19,32,49,44%,91%,10641309,42
WA-500,Seattle/King County CoC,3247,6241,9488,2545,79,2624,5792,6320,392,529,921,384,1134,1518,12112,141,339,546,852,35%,95%,977863,3552
WA-501,Washington Balance of State CoC,1669,2061,3730,1508,428,1936,3177,2489,215,175,390,206,150,356,5666,101,322,497,720,50%,91%,3572436,1493
WA-502,Spokane City & County CoC,622,295,917,313,15,328,935,310,67,29,96,68,33,101,1245,66,134,234,410,44%,95%,424200,265
WA-503,"Tacoma, Lakewood/Pierce County CoC",494,730,1224,384,20,404,878,750,60,80,140,47,49,96,1628,111,168,241,340,35%,91%,2614928,366
WA-504,Everett/Snohomish County CoC,267,345,612,213,33,246,480,378,20,32,52,39,31,70,858,123,93,146,207,46%,95%,1336441,367
WA-508,Vancouver/Clark County CoC,220,233,453,201,141,342,421,374,16,21,37,19,24,43,795,110,55,94,122,43%,96%,4375910,115
WI-500,Wisconsin Balance of State CoC,1390,107,1497,1630,20,1650,3020,127,161,4,165,126,6,132,3147,82,779,1094,1507,50%,94%,288790,285
WI-501,Milwaukee City & County CoC,502,156,658,208,5,213,710,161,79,6,85,56,21,77,871,55,381,530,676,33%,98%,,96
WI-502,Racine City & County CoC,166,10,176,99,0,99,265,10,38,0,38,5,1,6,275,82,32,48,62,42%,98%,,22
WI-503,Madison/Dane County CoC,325,84,409,205,0,205,530,84,43,1,44,28,3,31,614,63,166,221,288,37%,94%,,124
WV-500,"Wheeling, Weirton Area CoC",73,10,83,25,0,25,98,10,6,2,8,6,0,6,108,61,23,33,51,38%,82%,,21
WV-501,"Huntington/Cabell, Wayne Counties CoC",128,21,149,41,0,41,169,21,12,2,14,7,4,11,190,45,86,122,169,27%,95%,,6
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",219,57,276,41,0,41,260,57,11,5,16,19,1,20,317,80,69,108,148,60%,95%,,31
WV-508,West Virginia Balance of State CoC,422,91,513,111,4,115,533,95,77,16,93,20,4,24,628,72,221,298,390,40%,91%,,96
WY-500,Wyoming Statewide CoC,299,135,434,141,64,205,440,199,47,0,47,68,14,82,639,62,107,143,195,33%,88%,,46
MA-51X,MA-510 & MA-516 Shared Jurisdiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
