coc_number,coc_name,sheltered_total_homeless_individuals,unsheltered_homeless_individuals,homeless_individuals,sheltered_total_homeless_people_in_families,unsheltered_homeless_people_in_families,homeless_people_in_families,sheltered_homeless,unsheltered_homeless,sheltered_total_homeless_veterans,unsheltered_homeless_veterans,homeless_veterans,sheltered_total_homeless_unaccompanied_youth_under_25,unsheltered_homeless_unaccompanied_youth_under_25,total_homeless_unaccompanied_youth_under_25,total_homeless,es_sh_th_avg_days,total_persons_returns_in_6_mths,total_persons_returns_in_12_mths_should_include_the_6_month_cohort,total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,percent_with_successful_es_th_sh_ph_rrh_exit,percent_with_successful_ph_retention_or_exit,amount,chronically_homeless
MD-509,Frederick City & County CoC,123,84,207,109,0,109,232,84,7,2,9,10,9,19,316,239,2,10,15,55%,96%,9232284,52
MD-510,Garrett County CoC,8,0,8,7,0,7,15,0,0,0,0,0,0,0,15,115,6,11,16,90%,100%,13091730,0
MD-511,Mid-Shore Regional CoC,61,17,78,50,13,63,111,30,8,1,9,7,1,8,141,83,26,39,52,49%,100%,9280618,19
MD-512,Hagerstown/Washington County CoC,113,36,149,41,9,50,154,45,36,2,38,3,4,7,199,157,6,9,13,79%,95%,26921844,45
MD-513,"Wicomico, Somerset, Worcester Counties CoC",167,27,194,93,5,98,260,32,21,2,23,10,0,10,292,79,62,85,114,36%,97%,4253480,56
MD-600,Prince George's County CoC,120,85,205,273,0,273,393,85,21,8,29,21,2,23,478,165,15,23,61,54%,98%,1276212,19
MD-601,Montgomery County CoC,435,133,568,272,0,272,707,133,18,0,18,23,6,29,840,107,51,81,153,41%,98%,6256918,124
ME-500,Maine Statewide CoC,1359,91,1450,1059,7,1066,2418,98,106,13,119,143,9,152,2516,192,281,419,573,42%,97%,1959934,215
MI-500,Michigan Balance of State CoC,565,154,719,587,37,624,1152,191,62,8,70,120,19,139,1343,28,255,402,584,61%,93%,6297388,53
MI-501,Detroit CoC,1114,154,1268,497,4,501,1611,158,305,17,322,111,9,120,1769,93,464,635,849,49%,97%,1672455,221
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",61,13,74,137,0,137,198,13,12,0,12,1,1,2,211,82,20,26,34,64%,100%,2551336,16
MI-503,"St. Clair Shores, Warren/Macomb County CoC",169,28,197,73,0,73,242,28,16,0,16,21,0,21,270,50,32,49,96,33%,96%,5973900,27
MI-504,"Pontiac, Royal Oak/Oakland County CoC",222,71,293,134,0,134,356,71,8,0,8,32,2,34,427,83,94,131,173,67%,98%,2039269,42
MI-505,Flint/Genesee County CoC,194,91,285,144,9,153,338,100,12,5,17,43,2,45,438,145,58,75,99,44%,95%,103083,30
MI-506,"Grand Rapids, Wyoming/Kent County CoC",411,38,449,264,10,274,675,48,65,3,68,29,7,36,723,64,123,221,340,36%,97%,707619,102
MI-507,"Portage, Kalamazoo City & County CoC",292,51,343,222,2,224,514,53,20,4,24,18,3,21,567,75,163,247,362,64%,97%,132120,129
MI-508,"Lansing, East Lansing/Ingham County CoC",255,39,294,125,0,125,380,39,28,2,30,26,3,29,419,52,100,210,304,35%,96%,304409,43
MI-509,Washtenaw County CoC,183,27,210,72,0,72,255,27,25,1,26,25,0,25,282,61,77,113,182,52%,96%,125684,45
MI-510,Saginaw City & County CoC,141,12,153,204,0,204,345,12,11,1,12,23,0,23,357,71,95,150,208,49%,98%,596662,10
MI-511,Lenawee County CoC,54,0,54,63,0,63,117,0,0,0,0,8,0,8,117,34,6,6,21,21%,100%,824043,5
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",146,23,169,66,0,66,212,23,11,1,12,14,1,15,235,92,53,72,115,42%,98%,223694,48
MI-513,"Marquette, Alger Counties CoC",25,9,34,36,0,36,61,9,1,0,1,3,1,4,70,60,16,27,44,68%,90%,1160414,4
MI-514,Battle Creek/Calhoun County CoC,131,41,172,64,0,64,195,41,41,3,44,5,8,13,236,65,76,99,148,39%,100%,994002,25
MI-515,Monroe City & County CoC,128,7,135,71,3,74,199,10,11,0,11,18,7,25,209,75,16,30,51,41%,93%,12955703,24
MI-516,"Norton Shores, Muskegon City & County CoC",80,26,106,45,8,53,125,34,4,0,4,9,4,13,159,41,114,137,177,60%,99%,6994909,19
MI-517,Jackson City & County CoC,56,9,65,16,0,16,72,9,5,1,6,3,0,3,81,33,32,55,94,43%,94%,2230636,10
MI-518,Livingston County CoC,39,7,46,39,5,44,78,12,4,1,5,13,0,13,90,51,32,40,62,32%,95%,3868141,0
MI-519,Holland/Ottawa County CoC,119,14,133,91,2,93,210,16,5,0,5,12,3,15,226,61,72,121,146,48%,94%,460318,4
MI-523,Eaton County CoC,5,5,10,112,0,112,117,5,0,0,0,0,0,0,122,123,38,66,124,80%,100%,1585286,4
MN-500,Minneapolis/Hennepin County CoC,1288,404,1692,1321,0,1321,2609,404,116,22,138,170,37,207,3013,83,290,422,653,20%,91%,736023,490
MN-501,Saint Paul/Ramsey County CoC,776,110,886,519,19,538,1295,129,57,3,60,95,21,116,1424,98,104,156,239,17%,93%,863442,235
MN-502,Rochester/Southeast Minnesota CoC,173,59,232,258,7,265,431,66,10,3,13,77,13,90,497,149,30,44,62,56%,92%,3277549,32
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",198,147,345,215,65,280,413,212,18,3,21,48,29,77,625,102,31,48,67,47%,92%,1106623,78
MN-504,Northeast Minnesota CoC,26,31,57,21,12,33,47,43,1,3,4,8,2,10,90,78,8,12,18,61%,94%,2053080,12
MN-505,St. Cloud/Central Minnesota CoC,192,86,278,287,19,306,479,105,25,13,38,53,24,77,584,88,47,71,99,46%,92%,12494002,64
MN-506,Northwest Minnesota CoC,101,8,109,165,0,165,266,8,4,0,4,33,4,37,274,142,49,79,104,53%,83%,381847,22
MN-508,Moorhead/West Central Minnesota CoC,106,6,112,134,0,134,240,6,9,1,10,17,0,17,246,112,19,30,42,40%,92%,1073726,25
MN-509,Duluth/St.Louis County CoC,138,123,261,139,25,164,277,148,9,3,12,51,18,69,425,89,67,115,178,40%,91%,625968,108
MN-511,Southwest Minnesota CoC,21,0,21,44,0,44,65,0,1,0,1,9,0,9,65,58,11,13,22,76%,91%,1430323,0
MO-500,St. Louis County CoC,232,26,258,192,0,192,424,26,14,2,16,125,3,128,450,81,28,43,67,48%,95%,13361804,45
MO-501,St.Louis City CoC,522,97,619,330,0,330,852,97,132,4,136,47,7,54,949,112,36,66,138,36%,97%,4948339,95
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",125,153,278,245,9,254,370,162,4,5,9,40,25,65,532,70,21,29,43,50%,96%,14244,33
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",125,189,314,157,8,165,282,197,5,23,28,21,31,52,479,61,27,39,60,41%,92%,1433023,135
MO-602,"Joplin/Jasper, Newton Counties CoC",175,52,227,45,3,48,220,55,54,11,65,10,2,12,275,133,13,21,26,76%,96%,2785536,32
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",73,30,103,101,0,101,174,30,12,2,14,4,5,9,204,101,218,299,382,19%,82%,830645,62
MO-604,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",894,306,1200,580,18,598,1474,324,108,35,143,103,12,115,1798,NA,NA,NA,NA,NA,NA,2681779,416
MO-606,Missouri Balance of State CoC,553,319,872,430,43,473,983,362,97,15,112,86,20,106,1345,63,81,139,185,61%,96%,2225764,250
MP-500,Northern Mariana Islands CoC,22,335,357,0,687,687,22,1022,0,0,0,2,0,2,1044,0,0,0,0,89%,NA,1276279,0
MS-500,"Jackson/Rankin, Madison Counties CoC",225,137,362,84,0,84,309,137,10,34,44,16,23,39,446,2317,8,11,19,20%,92%,1461135,172
MS-501,Mississippi Balance of State CoC,199,205,404,98,58,156,297,263,27,16,43,16,10,26,560,66,45,72,125,72%,91%,8933958,58
MS-503,Gulf Port/Gulf Coast Regional CoC,37,221,258,88,0,88,125,221,0,15,15,3,19,22,346,77,10,23,35,67%,96%,1901691,49
MT-500,Montana Statewide CoC,682,301,983,350,72,422,1032,373,125,73,198,92,27,119,1405,198,8,16,19,84%,85%,4089204,200
NC-500,Winston-Salem/Forsyth County CoC,318,33,351,89,0,89,407,33,50,3,53,12,4,16,440,69,108,156,208,42%,97%,696261,72
NC-501,Asheville/Buncombe County CoC,464,51,515,33,6,39,497,57,242,5,247,20,3,23,554,178,64,108,153,60%,98%,3451506,82
NC-502,Durham City & County CoC,193,53,246,92,0,92,285,53,62,1,63,17,4,21,338,111,39,68,103,55%,96%,792300,68
NC-503,North Carolina Balance of State CoC,1305,769,2074,718,199,917,2023,968,100,56,156,119,55,174,2991,81,201,347,501,42%,99%,724109,485
NC-504,"Greensboro, High Point CoC",376,104,480,169,8,177,545,112,55,0,55,37,4,41,657,87,95,157,219,57%,91%,700219,36
NC-505,Charlotte/Mecklenberg CoC,924,209,1133,535,0,535,1459,209,130,16,146,63,19,82,1668,118,384,539,706,70%,94%,355786,217
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",144,127,271,62,0,62,206,127,18,12,30,16,3,19,333,73,48,62,79,43%,97%,1876781,32
NC-507,Raleigh/Wake County CoC,478,187,665,313,5,318,791,192,63,17,80,35,10,45,983,66,230,324,426,27%,95%,2042862,121
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",136,112,248,69,14,83,205,126,2,0,2,7,7,14,331,56,48,63,93,49%,95%,4692702,79
NC-511,Fayetteville/Cumberland County CoC,14,128,142,133,97,230,147,225,5,33,38,1,14,15,372,196,7,7,10,67%,100%,2372628,67
NC-513,Chapel Hill/Orange County CoC,83,37,120,30,2,32,113,39,6,6,12,3,1,4,152,177,6,12,14,33%,74%,4193853,19
NC-516,Northwest North Carolina CoC,86,120,206,54,189,243,140,309,2,0,2,4,20,24,449,104,27,35,49,43%,91%,1543817,15
ND-500,North Dakota Statewide CoC,419,48,467,75,0,75,494,48,9,0,9,58,7,65,542,399,149,213,264,36%,92%,1936674,76
NE-500,Nebraska Balance of State CoC,297,30,327,227,5,232,524,35,11,2,13,40,6,46,559,74,92,161,229,56%,93%,541425,24
NE-501,"Omaha, Council Bluffs CoC",1058,64,1122,289,0,289,1347,64,141,1,142,77,6,83,1411,69,242,397,582,28%,97%,5363543,358
NE-502,Lincoln CoC,253,43,296,153,2,155,406,45,16,0,16,27,1,28,451,81,59,96,153,22%,88%,504223,73
NH-500,New Hampshire Balance of State CoC,352,115,467,268,7,275,620,122,28,7,35,31,17,48,742,105,147,182,250,52%,97%,3703084,135
NH-501,Manchester CoC,183,21,204,218,5,223,401,26,47,0,47,19,4,23,427,126,37,50,68,27%,98%,6442940,16
NH-502,Nashua/Hillsborough County CoC,158,6,164,117,0,117,275,6,61,0,61,10,0,10,281,169,26,34,52,40%,98%,7191193,10
NJ-500,Atlantic City & County CoC,270,131,401,36,0,36,306,131,37,11,48,38,4,42,437,60,34,46,69,38%,97%,3103903,105
NJ-501,Bergen County CoC,200,23,223,131,0,131,331,23,18,1,19,27,1,28,354,159,21,26,52,52%,94%,3617597,11
NJ-502,Burlington County CoC,405,52,457,379,4,383,784,56,17,5,22,40,1,41,840,120,43,80,153,27%,98%,1939213,81
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",568,137,705,286,8,294,854,145,125,5,130,57,7,64,999,81,170,216,258,24%,96%,613109,146
NJ-504,Newark/Essex County CoC,978,389,1367,854,7,861,1832,396,61,15,76,120,27,147,2228,117,93,156,236,49%,95%,4557884,250
NJ-506,"Jersey City, Bayonne/Hudson County CoC",429,243,672,188,0,188,617,243,18,8,26,23,11,34,860,61,77,111,194,43%,96%,398093,226
NJ-507,New Brunswick/Middlesex County CoC,224,131,355,242,0,242,466,131,4,12,16,6,6,12,597,106,1,6,16,76%,99%,4332613,88
NJ-508,Monmouth County CoC,115,72,187,148,0,148,263,72,7,3,10,5,2,7,335,64,8,13,18,20%,95%,4321987,40
NJ-509,Morris County CoC,214,35,249,149,0,149,363,35,9,1,10,17,4,21,398,121,17,25,47,39%,94%,1253501,65
NJ-510,Lakewood Township/Ocean County CoC,94,99,193,158,3,161,252,102,4,6,10,16,4,20,354,68,1,5,6,15%,98%,5572933,52
NJ-511,Paterson/Passaic County CoC,172,112,284,150,0,150,322,112,2,8,10,16,4,20,434,131,10,25,45,67%,94%,5614726,95
NJ-512,Salem County CoC,9,5,14,35,0,35,44,5,0,0,0,0,0,0,49,NA,NA,NA,NA,NA,NA,14236132,3
NJ-513,Somerset County CoC,146,6,152,66,0,66,212,6,86,1,87,20,1,21,218,172,3,6,10,45%,98%,1625336,5
NJ-514,Trenton/Mercer County CoC,274,63,337,142,0,142,416,63,13,5,18,25,3,28,479,60,39,66,103,36%,95%,598552,46
NJ-515,Elizabeth/Union County CoC,179,30,209,258,11,269,437,41,6,1,7,14,1,15,478,96,48,84,107,61%,96%,12511442,43
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",193,50,243,83,12,95,276,62,63,3,66,15,3,18,338,106,18,32,59,45%,100%,1709455,30
NM-500,Albuquerque CoC,747,368,1115,209,16,225,956,384,128,41,169,92,26,118,1340,63,95,152,231,32%,94%,5663416,421
NM-501,New Mexico Balance of State CoC,484,350,834,315,62,377,799,412,49,72,121,47,17,64,1211,65,51,85,149,39%,92%,274756,470
NV-500,Las Vegas/Clark County CoC,1935,3851,5786,264,33,297,2199,3884,429,165,594,150,1145,1295,6083,112,411,645,929,43%,90%,9472298,505
NV-501,"Reno, Sparks/Washoe County CoC",867,184,1051,141,0,141,1008,184,99,20,119,71,23,94,1192,97,192,282,391,27%,87%,4054963,106
NV-502,Nevada Balance of State CoC,71,150,221,27,21,48,98,171,2,8,10,6,9,15,269,73,12,13,33,31%,99%,12207363,37
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",487,56,543,292,0,292,779,56,65,8,73,78,0,78,835,37,295,473,737,48%,97%,217267,90
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",105,14,119,114,0,114,219,14,0,0,0,22,5,27,233,50,29,63,87,78%,92%,1689334,0
NY-503,Albany City & County CoC,545,35,580,255,0,255,800,35,81,3,84,44,0,44,835,65,81,148,222,43%,95%,3529625,99
NY-504,Cattaragus County CoC,21,0,21,12,0,12,33,0,1,0,1,3,0,3,33,23,8,13,19,46%,85%,329297,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",528,12,540,182,0,182,710,12,41,0,41,69,0,69,722,52,324,504,740,46%,96%,199474,36
NY-507,Schenectady City & County CoC,203,11,214,179,0,179,382,11,22,4,26,30,1,31,393,74,54,91,175,59%,95%,3248035,38
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",597,15,612,345,0,345,942,15,88,0,88,76,0,76,957,54,159,272,402,41%,97%,464344,25
NY-510,Ithaca/Tompkins County CoC,30,45,75,16,0,16,46,45,3,5,8,10,2,12,91,59,14,31,58,46%,88%,90741,5
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",145,66,211,21,12,33,166,78,17,0,17,21,15,36,244,60,60,119,180,55%,93%,1294337,21
NY-512,Troy/Rensselaer County CoC,94,6,100,78,0,78,172,6,1,0,1,10,0,10,178,44,37,59,89,45%,94%,1721987,7
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",163,19,182,0,0,0,163,19,20,0,20,30,1,31,182,100,1,2,3,37%,86%,,6
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",91,3,94,51,0,51,142,3,4,0,4,33,0,33,145,159,8,11,18,49%,89%,117583916,1
NY-516,Clinton County CoC,113,1,114,83,0,83,196,1,4,0,4,9,0,9,197,NA,NA,NA,NA,NA,NA,1373608,13
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",91,9,100,71,7,78,162,16,4,0,4,12,0,12,178,52,30,47,85,63%,93%,2708938,19
NY-519,"Columbia, Greene Counties CoC",108,5,113,83,0,83,191,5,0,0,0,13,0,13,196,0,0,0,0,100%,96%,13156123,4
NY-520,"Franklin, Essex Counties CoC",25,0,25,17,0,17,42,0,2,0,2,1,0,1,42,76,4,7,10,50%,100%,18848370,0
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",75,6,81,15,0,15,90,6,7,0,7,4,3,7,96,34,29,61,102,76%,92%,902136,2
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",204,21,225,30,2,32,234,23,26,0,26,16,1,17,257,65,40,54,61,65%,93%,281080,16
NY-600,New York City CoC,29680,3711,33391,45285,0,45285,74965,3711,597,8,605,1922,220,2142,78676,266,4463,6186,8673,47%,98%,1235605,6336
NY-601,Poughkeepsie/Dutchess County CoC,217,9,226,173,0,173,390,9,5,0,5,29,0,29,399,136,26,42,57,30%,94%,19476832,26
